,"Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Notice
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Processed
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","Effective 
Date","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees","No. Of
Employees"
,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
County/Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda ,76,2023-10-08 04:06:18.947368448,2023-06-07 00:00:00,2023-08-06 06:00:00,2023-09-29 00:00:00,2023-11-29 06:00:00,2024-04-18 00:00:00,,76,2023-11-12 14:12:37.894736896,2023-07-13 00:00:00,2023-09-21 00:00:00,2023-11-01 00:00:00,2024-01-11 00:00:00,2024-04-18 00:00:00,,76,2023-12-02 18:18:56.842105344,2023-06-30 00:00:00,2023-09-26 12:00:00,2023-11-10 00:00:00,2024-02-02 00:00:00,2024-06-27 00:00:00,,76.0,48.10526315789474,1.0,5.75,36.5,72.75,218.0,49.097339764286865
Butte ,9,2023-12-02 16:00:00,2023-04-25 00:00:00,2023-10-09 00:00:00,2023-12-14 00:00:00,2024-04-11 00:00:00,2024-04-11 00:00:00,,9,2024-01-02 21:20:00,2023-07-05 00:00:00,2023-12-01 00:00:00,2024-01-24 00:00:00,2024-04-16 00:00:00,2024-04-16 00:00:00,,9,2024-01-21 10:40:00,2023-08-11 00:00:00,2023-10-20 00:00:00,2024-02-23 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,,9.0,27.88888888888889,2.0,7.0,18.0,26.0,127.0,38.66343377289595
Contra Costa ,30,2023-11-29 12:48:00,2023-04-25 00:00:00,2023-08-11 06:00:00,2023-11-04 12:00:00,2024-04-14 12:00:00,2024-04-18 00:00:00,,30,2023-12-27 13:36:00,2023-07-03 00:00:00,2023-10-16 00:00:00,2023-12-12 00:00:00,2024-04-17 12:00:00,2024-04-18 00:00:00,,30,2024-02-11 02:24:00,2023-09-02 00:00:00,2023-10-17 06:00:00,2024-01-09 00:00:00,2024-06-08 12:00:00,2024-07-31 00:00:00,,30.0,60.46666666666667,1.0,11.5,23.0,53.5,474.0,97.19469736257373
El Dorado ,3,2023-12-02 16:00:00,2023-11-27 00:00:00,2023-11-27 00:00:00,2023-11-27 00:00:00,2023-12-05 12:00:00,2023-12-14 00:00:00,,3,2024-01-06 16:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2023-12-29 00:00:00,2024-01-11 00:00:00,2024-01-24 00:00:00,,3,2024-02-08 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-02-12 00:00:00,2024-02-24 00:00:00,,3.0,16.666666666666668,3.0,9.5,16.0,23.5,31.0,14.0118997046558
Fresno ,19,2023-10-09 01:15:47.368421120,2023-04-25 00:00:00,2023-08-01 12:00:00,2023-12-08 00:00:00,2023-12-14 00:00:00,2024-03-28 00:00:00,,19,2023-11-21 21:28:25.263158016,2023-07-03 00:00:00,2023-09-27 00:00:00,2024-01-17 00:00:00,2024-01-24 00:00:00,2024-04-02 00:00:00,,19,2023-12-07 06:18:56.842105344,2023-05-31 00:00:00,2023-09-30 00:00:00,2024-02-06 00:00:00,2024-02-16 00:00:00,2024-05-31 00:00:00,,19.0,23.57894736842105,1.0,5.0,11.0,31.0,96.0,26.85209652372228
Glenn ,3,2023-09-25 00:00:00,2023-07-21 00:00:00,2023-07-26 12:00:00,2023-08-01 00:00:00,2023-10-28 00:00:00,2024-01-24 00:00:00,,3,2023-10-20 00:00:00,2023-08-15 00:00:00,2023-08-28 12:00:00,2023-09-11 00:00:00,2023-11-22 00:00:00,2024-02-02 00:00:00,,3,2023-11-07 16:00:00,2023-07-30 00:00:00,2023-08-27 12:00:00,2023-09-25 00:00:00,2023-12-28 00:00:00,2024-03-31 00:00:00,,3.0,37.333333333333336,2.0,28.0,54.0,55.0,56.0,30.615900008546756
Humboldt ,2,2023-08-05 12:00:00,2023-08-01 00:00:00,2023-08-03 06:00:00,2023-08-05 12:00:00,2023-08-07 18:00:00,2023-08-10 00:00:00,,2,2023-09-28 00:00:00,2023-08-18 00:00:00,2023-09-07 12:00:00,2023-09-28 00:00:00,2023-10-18 12:00:00,2023-11-08 00:00:00,,2,2023-08-30 00:00:00,2023-07-30 00:00:00,2023-08-14 12:00:00,2023-08-30 00:00:00,2023-09-14 12:00:00,2023-09-30 00:00:00,,2.0,5.0,4.0,4.5,5.0,5.5,6.0,1.4142135623730951
Imperial ,2,2023-08-05 12:00:00,2023-08-01 00:00:00,2023-08-03 06:00:00,2023-08-05 12:00:00,2023-08-07 18:00:00,2023-08-10 00:00:00,,2,2023-10-01 12:00:00,2023-08-18 00:00:00,2023-09-09 06:00:00,2023-10-01 12:00:00,2023-10-23 18:00:00,2023-11-15 00:00:00,,2,2023-08-30 00:00:00,2023-07-30 00:00:00,2023-08-14 12:00:00,2023-08-30 00:00:00,2023-09-14 12:00:00,2023-09-30 00:00:00,,2.0,12.5,10.0,11.25,12.5,13.75,15.0,3.5355339059327378
Kern ,33,2023-10-23 06:32:43.636363520,2023-04-25 00:00:00,2023-08-28 00:00:00,2023-11-08 00:00:00,2023-12-14 00:00:00,2024-02-26 00:00:00,,33,2023-11-28 18:54:32.727272704,2023-07-05 00:00:00,2023-10-04 00:00:00,2023-12-18 00:00:00,2024-01-24 00:00:00,2024-02-28 00:00:00,,33,2023-12-08 19:38:10.909090816,2023-07-30 00:00:00,2023-08-28 00:00:00,2024-01-08 00:00:00,2024-02-16 00:00:00,2024-04-26 00:00:00,,33.0,78.3030303030303,1.0,2.0,7.0,27.0,1015.0,242.798203871096
Kings ,4,2023-10-21 06:00:00,2023-05-19 00:00:00,2023-10-18 06:00:00,2023-12-11 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,,4,2023-12-07 12:00:00,2023-07-25 00:00:00,2023-12-04 00:00:00,2024-01-20 12:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,,4,2023-12-25 18:00:00,2023-07-30 00:00:00,2023-12-20 06:00:00,2024-02-11 12:00:00,2024-02-17 00:00:00,2024-02-17 00:00:00,,4.0,11.0,3.0,3.75,4.5,11.75,32.0,14.023789311975086
Los Angeles ,296,2023-11-15 05:40:32.432432384,2023-04-25 00:00:00,2023-08-28 00:00:00,2023-11-07 00:00:00,2024-01-26 00:00:00,2024-04-16 00:00:00,,296,2023-12-15 05:16:12.972973056,2023-07-03 00:00:00,2023-10-16 00:00:00,2023-12-28 00:00:00,2024-02-12 06:00:00,2024-04-18 00:00:00,,296,2024-01-12 13:47:01.621621504,2023-06-30 00:00:00,2023-10-29 06:00:00,2024-01-15 12:00:00,2024-04-01 00:00:00,2024-06-30 00:00:00,,296.0,53.983108108108105,1.0,3.0,21.0,72.0,731.0,85.84706376903374
Madera ,1,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,,1,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,,1,2024-02-13 00:00:00,2024-02-13 00:00:00,2024-02-13 00:00:00,2024-02-13 00:00:00,2024-02-13 00:00:00,2024-02-13 00:00:00,,1.0,6.0,6.0,6.0,6.0,6.0,6.0,
Marin ,8,2023-10-06 09:00:00,2023-07-19 00:00:00,2023-08-06 06:00:00,2023-09-03 12:00:00,2023-12-19 18:00:00,2024-01-25 00:00:00,,8,2023-12-02 21:00:00,2023-08-23 00:00:00,2023-10-05 18:00:00,2023-12-06 00:00:00,2024-02-06 18:00:00,2024-03-07 00:00:00,,8,2023-11-27 12:00:00,2023-09-17 00:00:00,2023-09-29 12:00:00,2023-10-09 00:00:00,2024-02-10 06:00:00,2024-03-30 00:00:00,,8.0,24.75,2.0,5.25,12.5,36.25,85.0,28.54445154991972
Mariposa ,1,2023-08-10 00:00:00,2023-08-10 00:00:00,2023-08-10 00:00:00,2023-08-10 00:00:00,2023-08-10 00:00:00,2023-08-10 00:00:00,,1,2023-11-15 00:00:00,2023-11-15 00:00:00,2023-11-15 00:00:00,2023-11-15 00:00:00,2023-11-15 00:00:00,2023-11-15 00:00:00,,1,2023-09-30 00:00:00,2023-09-30 00:00:00,2023-09-30 00:00:00,2023-09-30 00:00:00,2023-09-30 00:00:00,2023-09-30 00:00:00,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,
Merced ,5,2023-12-27 19:12:00,2023-11-01 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2024-04-04 00:00:00,,5,2024-02-01 09:36:00,2023-12-14 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-04-16 00:00:00,,5,2024-02-28 19:12:00,2024-01-01 00:00:00,2024-02-16 00:00:00,2024-02-17 00:00:00,2024-02-17 00:00:00,2024-06-03 00:00:00,,5.0,39.8,4.0,5.0,7.0,41.0,142.0,59.192060278385306
Monterey ,3,2023-12-10 16:00:00,2023-08-01 00:00:00,2023-10-07 00:00:00,2023-12-13 00:00:00,2024-02-14 12:00:00,2024-04-18 00:00:00,,3,2023-12-28 08:00:00,2023-08-18 00:00:00,2023-11-02 12:00:00,2024-01-18 00:00:00,2024-03-03 12:00:00,2024-04-18 00:00:00,,3,2024-01-28 00:00:00,2023-07-30 00:00:00,2023-11-04 12:00:00,2024-02-10 00:00:00,2024-04-28 00:00:00,2024-07-15 00:00:00,,3.0,9.666666666666666,4.0,7.5,11.0,12.5,14.0,5.131601439446884
Napa ,3,2023-12-15 00:00:00,2023-09-25 00:00:00,2023-10-28 00:00:00,2023-11-30 00:00:00,2024-01-24 12:00:00,2024-03-20 00:00:00,,3,2024-01-11 08:00:00,2023-10-30 00:00:00,2023-12-05 12:00:00,2024-01-11 00:00:00,2024-02-17 00:00:00,2024-03-25 00:00:00,,3,2024-03-02 08:00:00,2024-01-03 00:00:00,2024-01-17 00:00:00,2024-01-31 00:00:00,2024-04-01 00:00:00,2024-06-01 00:00:00,,3.0,130.66666666666666,28.0,87.5,147.0,182.0,217.0,95.55277773740193
Nevada ,1,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,,1,2024-02-02 00:00:00,2024-02-02 00:00:00,2024-02-02 00:00:00,2024-02-02 00:00:00,2024-02-02 00:00:00,2024-02-02 00:00:00,,1,2024-04-05 00:00:00,2024-04-05 00:00:00,2024-04-05 00:00:00,2024-04-05 00:00:00,2024-04-05 00:00:00,2024-04-05 00:00:00,,1.0,58.0,58.0,58.0,58.0,58.0,58.0,
Orange ,122,2023-11-24 06:17:42.295081984,2023-06-13 00:00:00,2023-08-31 06:00:00,2023-12-01 00:00:00,2024-02-01 00:00:00,2024-04-08 00:00:00,,122,2023-12-26 04:43:16.721311488,2023-07-10 00:00:00,2023-10-18 00:00:00,2024-01-25 12:00:00,2024-02-21 00:00:00,2024-04-16 00:00:00,,122,2024-01-16 04:31:28.524590080,2023-06-30 00:00:00,2023-10-09 00:00:00,2024-01-31 00:00:00,2024-03-29 00:00:00,2024-06-07 00:00:00,,122.0,45.450819672131146,1.0,4.0,14.5,59.25,699.0,85.90135630973185
Placer ,9,2023-11-01 16:00:00,2023-04-25 00:00:00,2023-08-10 00:00:00,2023-11-15 00:00:00,2024-02-15 00:00:00,2024-03-14 00:00:00,,9,2023-12-04 10:40:00,2023-07-03 00:00:00,2023-10-16 00:00:00,2023-12-29 00:00:00,2024-02-20 00:00:00,2024-03-18 00:00:00,,9,2024-01-12 05:20:00,2023-08-21 00:00:00,2023-10-09 00:00:00,2024-01-16 00:00:00,2024-04-19 00:00:00,2024-06-14 00:00:00,,9.0,34.22222222222222,2.0,4.0,9.0,65.0,96.0,37.86745891190013
Plumas ,1,2024-01-23 00:00:00,2024-01-23 00:00:00,2024-01-23 00:00:00,2024-01-23 00:00:00,2024-01-23 00:00:00,2024-01-23 00:00:00,,1,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-01 00:00:00,,1,2024-01-19 00:00:00,2024-01-19 00:00:00,2024-01-19 00:00:00,2024-01-19 00:00:00,2024-01-19 00:00:00,2024-01-19 00:00:00,,1.0,62.0,62.0,62.0,62.0,62.0,62.0,
Riverside ,56,2023-10-18 13:17:08.571428608,2023-04-25 00:00:00,2023-08-10 00:00:00,2023-11-18 12:00:00,2023-12-14 00:00:00,2024-03-22 00:00:00,,56,2023-11-30 09:25:42.857142784,2023-07-05 00:00:00,2023-10-14 06:00:00,2023-12-27 00:00:00,2024-01-24 00:00:00,2024-04-02 00:00:00,,56,2023-12-22 17:34:17.142857216,2023-09-01 00:00:00,2023-10-09 00:00:00,2024-01-17 12:00:00,2024-02-18 00:00:00,2024-05-22 00:00:00,,56.0,34.07142857142857,1.0,3.0,7.0,39.0,425.0,68.48937731644817
Sacramento ,47,2023-11-28 10:43:24.255319040,2023-04-25 00:00:00,2023-10-02 12:00:00,2023-12-14 00:00:00,2024-02-15 00:00:00,2024-04-15 00:00:00,,47,2023-12-26 20:25:31.914893568,2023-07-05 00:00:00,2023-11-12 00:00:00,2024-01-24 00:00:00,2024-02-20 00:00:00,2024-04-17 00:00:00,,47,2024-02-01 11:44:40.851063808,2023-07-30 00:00:00,2023-12-17 00:00:00,2024-02-12 00:00:00,2024-04-19 00:00:00,2024-06-14 00:00:00,,47.0,45.1063829787234,1.0,4.0,16.0,57.5,298.0,63.036991914876666
San Bernardino ,59,2023-11-23 23:35:35.593220352,2023-06-08 00:00:00,2023-09-26 12:00:00,2023-12-14 00:00:00,2024-01-16 12:00:00,2024-04-15 00:00:00,,59,2023-12-23 23:11:11.186440704,2023-07-11 00:00:00,2023-10-29 12:00:00,2024-01-24 00:00:00,2024-02-04 00:00:00,2024-04-17 00:00:00,,59,2024-01-29 17:53:53.898305024,2023-07-30 00:00:00,2023-12-21 12:00:00,2024-02-16 00:00:00,2024-03-20 00:00:00,2024-08-31 00:00:00,,59.0,69.20338983050847,1.0,7.0,29.0,62.0,784.0,140.89024582142395
San Diego ,151,2023-10-28 04:55:37.748344320,2023-04-25 00:00:00,2023-08-10 00:00:00,2023-11-01 00:00:00,2024-01-11 12:00:00,2024-04-09 00:00:00,,151,2023-12-01 05:05:09.933774848,2023-07-03 00:00:00,2023-09-26 12:00:00,2023-11-30 00:00:00,2024-01-29 00:00:00,2024-04-16 00:00:00,,151,2023-12-21 11:45:41.721854208,2023-06-30 00:00:00,2023-09-30 00:00:00,2024-01-02 00:00:00,2024-03-08 00:00:00,2024-06-30 00:00:00,,151.0,57.145695364238414,1.0,5.0,15.0,66.5,1064.0,124.24456513135661
San Francisco ,102,2023-10-23 13:38:49.411764736,2023-05-31 00:00:00,2023-08-24 00:00:00,2023-11-02 00:00:00,2024-01-09 18:00:00,2024-04-11 00:00:00,,102,2023-11-21 14:07:03.529411840,2023-07-06 00:00:00,2023-09-28 00:00:00,2023-12-07 00:00:00,2024-01-25 00:00:00,2024-04-17 00:00:00,,102,2023-12-17 10:21:10.588235264,2023-05-31 00:00:00,2023-09-30 00:00:00,2023-12-14 00:00:00,2024-03-09 12:00:00,2025-01-01 00:00:00,,102.0,49.794117647058826,1.0,3.0,37.5,72.75,260.0,54.292814147229706
San Joaquin ,18,2023-11-12 14:40:00,2023-06-15 00:00:00,2023-09-13 18:00:00,2023-11-18 00:00:00,2024-02-07 12:00:00,2024-03-27 00:00:00,,18,2023-12-09 01:20:00,2023-07-13 00:00:00,2023-10-14 06:00:00,2023-12-23 12:00:00,2024-02-19 06:00:00,2024-03-27 00:00:00,,18,2024-01-03 10:40:00,2023-06-30 00:00:00,2023-10-20 06:00:00,2024-01-19 12:00:00,2024-04-08 06:00:00,2024-05-31 00:00:00,,18.0,35.888888888888886,1.0,3.0,13.5,40.0,257.0,63.689401545948336
San Luis Obispo ,3,2023-10-26 16:00:00,2023-08-04 00:00:00,2023-08-16 12:00:00,2023-08-29 00:00:00,2023-12-07 12:00:00,2024-03-17 00:00:00,,3,2023-11-22 16:00:00,2023-09-13 00:00:00,2023-09-21 00:00:00,2023-09-29 00:00:00,2023-12-28 00:00:00,2024-03-27 00:00:00,,3,2023-12-19 00:00:00,2023-09-08 00:00:00,2023-10-04 12:00:00,2023-10-31 00:00:00,2024-02-08 00:00:00,2024-05-18 00:00:00,,3.0,12.333333333333334,2.0,4.0,6.0,17.5,29.0,14.571661996262929
San Mateo ,54,2023-11-06 01:20:00,2023-06-07 00:00:00,2023-07-27 00:00:00,2023-11-10 00:00:00,2024-01-24 06:00:00,2024-04-18 00:00:00,,54,2023-12-01 20:26:40,2023-07-10 00:00:00,2023-09-16 00:00:00,2023-12-16 00:00:00,2024-02-04 06:00:00,2024-04-18 00:00:00,,54,2023-12-22 20:00:00,2023-03-15 00:00:00,2023-09-08 06:00:00,2024-01-01 12:00:00,2024-03-28 18:00:00,2024-06-25 00:00:00,,54.0,65.18518518518519,1.0,18.5,55.0,83.5,436.0,76.6353960472806
Santa Barbara ,9,2023-11-05 08:00:00,2023-08-01 00:00:00,2023-08-17 00:00:00,2023-12-01 00:00:00,2023-12-15 00:00:00,2024-04-15 00:00:00,,9,2023-12-19 02:40:00,2023-08-15 00:00:00,2023-10-04 00:00:00,2024-01-19 00:00:00,2024-02-23 00:00:00,2024-04-17 00:00:00,,9,2023-12-22 02:40:00,2023-07-30 00:00:00,2023-10-16 00:00:00,2023-12-15 00:00:00,2024-02-05 00:00:00,2024-06-14 00:00:00,,9.0,42.111111111111114,4.0,6.0,11.0,81.0,150.0,53.8782062722128
Santa Clara ,189,2023-11-29 18:09:31.428571392,2023-04-25 00:00:00,2023-10-11 00:00:00,2023-12-14 00:00:00,2024-01-23 00:00:00,2024-04-18 00:00:00,,189,2023-12-26 17:46:40,2023-07-05 00:00:00,2023-11-20 00:00:00,2024-01-24 00:00:00,2024-02-02 00:00:00,2024-04-18 00:00:00,,189,2024-01-22 06:36:11.428571392,2023-03-30 00:00:00,2023-12-04 00:00:00,2024-02-02 00:00:00,2024-03-10 00:00:00,2024-08-09 00:00:00,,189.0,58.87830687830688,1.0,5.0,25.0,67.0,1267.0,117.79070424116128
Santa Cruz ,4,2024-01-23 00:00:00,2023-10-23 00:00:00,2023-11-07 18:00:00,2024-01-26 00:00:00,2024-04-11 06:00:00,2024-04-18 00:00:00,,4,2024-02-07 06:00:00,2023-11-20 00:00:00,2023-12-07 06:00:00,2024-02-11 12:00:00,2024-04-13 12:00:00,2024-04-18 00:00:00,,4,2024-03-31 00:00:00,2023-12-23 00:00:00,2024-01-07 00:00:00,2024-03-27 00:00:00,2024-06-19 00:00:00,2024-07-16 00:00:00,,4.0,18.75,1.0,5.5,9.0,22.25,56.0,25.171081290507434
Shasta ,4,2023-09-30 00:00:00,2023-08-01 00:00:00,2023-08-07 18:00:00,2023-10-01 00:00:00,2023-11-23 06:00:00,2023-11-27 00:00:00,,4,2023-11-16 18:00:00,2023-08-15 00:00:00,2023-10-21 12:00:00,2023-12-06 00:00:00,2024-01-01 06:00:00,2024-01-11 00:00:00,,4,2023-11-14 12:00:00,2023-07-30 00:00:00,2023-09-14 12:00:00,2023-11-29 12:00:00,2024-01-29 12:00:00,2024-01-31 00:00:00,,4.0,37.25,1.0,2.5,25.5,60.25,97.0,45.360592294780865
Solano ,12,2024-01-06 02:00:00,2023-06-27 00:00:00,2023-09-26 06:00:00,2024-02-24 12:00:00,2024-04-05 06:00:00,2024-04-18 00:00:00,,12,2024-01-20 16:00:00,2023-08-07 00:00:00,2023-11-08 00:00:00,2024-02-27 12:00:00,2024-04-06 18:00:00,2024-04-18 00:00:00,,12,2024-02-28 00:00:00,2023-07-30 00:00:00,2023-11-28 06:00:00,2024-04-26 00:00:00,2024-05-31 18:00:00,2024-06-06 00:00:00,,12.0,51.916666666666664,1.0,13.0,21.0,66.0,195.0,59.89150544311292
Sonoma ,11,2023-11-01 15:16:21.818181888,2023-06-16 00:00:00,2023-08-02 00:00:00,2023-11-01 00:00:00,2024-02-01 00:00:00,2024-04-18 00:00:00,,11,2023-11-24 15:16:21.818181888,2023-07-11 00:00:00,2023-08-31 00:00:00,2023-12-01 00:00:00,2024-02-13 12:00:00,2024-04-18 00:00:00,,11,2023-12-29 06:32:43.636363520,2023-07-30 00:00:00,2023-10-13 00:00:00,2024-01-04 00:00:00,2024-03-31 12:00:00,2024-06-05 00:00:00,,11.0,44.36363636363637,9.0,19.5,33.0,58.5,132.0,36.11723335825358
Stanislaus ,12,2023-11-05 06:00:00,2023-04-25 00:00:00,2023-10-06 00:00:00,2023-12-14 00:00:00,2023-12-19 00:00:00,2024-04-15 00:00:00,,12,2023-12-17 10:00:00,2023-07-05 00:00:00,2023-11-25 18:00:00,2024-01-24 00:00:00,2024-01-24 12:00:00,2024-04-17 00:00:00,,12,2024-01-10 00:00:00,2023-08-07 00:00:00,2023-12-03 12:00:00,2024-02-15 00:00:00,2024-02-26 00:00:00,2024-04-30 00:00:00,,12.0,57.666666666666664,2.0,5.5,43.5,77.75,191.0,64.54502774079972
Tulare ,19,2023-11-04 05:03:09.473684224,2023-06-23 00:00:00,2023-09-20 00:00:00,2023-12-08 00:00:00,2023-12-14 00:00:00,2024-03-13 00:00:00,,19,2023-12-11 10:06:18.947368448,2023-08-01 00:00:00,2023-10-24 00:00:00,2024-01-17 00:00:00,2024-01-24 00:00:00,2024-03-25 00:00:00,,19,2024-01-01 20:12:37.894736896,2023-07-30 00:00:00,2023-11-10 12:00:00,2024-02-06 00:00:00,2024-02-16 00:00:00,2024-06-06 00:00:00,,19.0,71.78947368421052,3.0,9.0,24.0,69.0,306.0,105.32625448121154
Ventura ,17,2023-12-01 16:56:28.235294208,2023-08-01 00:00:00,2023-11-01 00:00:00,2023-11-27 00:00:00,2024-01-17 00:00:00,2024-03-27 00:00:00,,17,2024-01-01 02:49:24.705882368,2023-08-18 00:00:00,2023-12-13 00:00:00,2024-01-08 00:00:00,2024-01-31 00:00:00,2024-03-29 00:00:00,,17,2024-01-23 15:31:45.882352896,2023-07-30 00:00:00,2023-12-31 00:00:00,2024-01-16 00:00:00,2024-03-08 00:00:00,2024-05-31 00:00:00,,17.0,78.17647058823529,1.0,5.0,23.0,57.0,870.0,205.75356476077081
Yolo ,7,2023-11-10 13:42:51.428571392,2023-08-01 00:00:00,2023-09-12 00:00:00,2023-12-04 00:00:00,2023-12-31 00:00:00,2024-02-15 00:00:00,,7,2023-12-07 00:00:00,2023-08-18 00:00:00,2023-10-17 00:00:00,2024-01-16 00:00:00,2024-01-25 00:00:00,2024-02-20 00:00:00,,7,2024-01-01 10:17:08.571428608,2023-07-30 00:00:00,2023-11-13 00:00:00,2024-02-02 00:00:00,2024-02-27 12:00:00,2024-04-19 00:00:00,,7.0,74.71428571428571,8.0,19.0,56.0,90.0,241.0,82.96930011699966
Yuba ,1,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,2023-12-14 00:00:00,,1,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-24 00:00:00,,1,2024-02-23 00:00:00,2024-02-23 00:00:00,2024-02-23 00:00:00,2024-02-23 00:00:00,2024-02-23 00:00:00,2024-02-23 00:00:00,,1.0,7.0,7.0,7.0,7.0,7.0,7.0,
